11,33,CMP1100,学び精神,国際社会の中の宗教,藁科　智恵,春,1,2,4342,1,2016年度以降1年次入学者対象科目,https://sy.rikkyo.ac.jp/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=FH116&value(crclumcd)=
11,33,CMP2500,多彩５/主Ａ５,情報科学Ａ,古賀　ひろみ,春,1,2,5121,1,2006年度以降1年次入学者対象科目,https://sy.rikkyo.ac.jp/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=FE124&value(crclumcd)=
11,33,CMP2500,多彩５/主Ａ５,情報科学Ｂ,佐藤　尚,春,1,2,8202,1,2006年度以降1年次入学者対象科目,https://sy.rikkyo.ac.jp/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=FE126&value(crclumcd)=
11,33,CMP2500,多彩５/主Ａ５,情報科学Ｂ,古賀　ひろみ,秋,1,2,5121,1,2006年度以降1年次入学者対象科目,https://sy.rikkyo.ac.jp/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=FE127&value(crclumcd)=
11,33,CMP2200,多彩２/主Ａ２,情報と倫理,高橋　慈子,春,1,2,MB01,1,2006年度以降1年次入学者対象科目,https://sy.rikkyo.ac.jp/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=FB120&value(crclumcd)=
11,33,CMP2100,多彩１,人権思想の根源,嶽本　新奈,秋,1,2,7101,1,2016年度以降1年次入学者対象科目,https://sy.rikkyo.ac.jp/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=FA129&value(crclumcd)=
11,33,CMP2500,多彩５/主総Ａ５,数学の世界,大下　範幸,秋,1,2,8202,1,nil,https://sy.rikkyo.ac.jp/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=FE103&value(crclumcd)=
11,33,CMP2300,多彩３/主総Ａ３,スペイン語圏の文学,久野　量一,秋,1,2,N852,2,nil,https://sy.rikkyo.ac.jp/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=FC018&value(crclumcd)=
11,33,CMP2300,多彩３/主総Ａ３,スペイン語圏の文学,久野　量一,春,1,2,7101,1,nil,https://sy.rikkyo.ac.jp/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=FC132&value(crclumcd)=
11,33,CMP1220,スポーツ,スポーツスタディ２(セルフケア・エクササイズ),大石　友子,春,1,2,NTE1,2,nil,https://sy.rikkyo.ac.jp/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=FI707&value(crclumcd)=
